                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache accesses               |      77904 |      72431 |      79508 |      68083 |      68995 |      49286 |      54276 |      48761 |      85085 |      78936 |      71983 |      77090 |      76790 |      60021 |      75956 |      70999
    num cache misses                 |      31013 |      41740 |      49251 |      40671 |      41482 |      29469 |      33055 |      30140 |      28996 |      42452 |      40786 |      42579 |      43504 |      36541 |      44020 |      43060
    miss rate                        |     39.81% |     57.63% |     61.94% |     59.74% |     60.12% |     59.79% |     60.90% |     61.81% |     34.08% |     53.78% |     56.66% |     55.23% |     56.65% |     60.88% |     57.95% |     60.65%
    mpki                             |      57.41 |      78.89 |      80.81 |      79.40 |      79.33 |      71.44 |      74.91 |      72.68 |      49.80 |      72.93 |      76.13 |      70.58 |      74.74 |      76.52 |      74.73 |      78.20
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         99 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     116.37 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      62.94 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          1 |          4 |          5 |          2 |          3 |          3 |          2 |          3 |          2 |          3 |          4 |          4 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      14953 |      20797 |      21502 |      20786 |      20786 |      15532 |      17412 |      16214 |      15478 |      20709 |      20233 |      21875 |      22270 |      19336 |      23236 |      22908
