                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |        872 |        796 |        821 |        968 |        800 |        693 |        672 |        547 |        595 |        675 |        738 |        838 |        757 |        633 |        869 |        752
    miss rate                        |     50.73% |     48.60% |     49.88% |     53.42% |     49.08% |     48.67% |     47.52% |     48.32% |     44.37% |     47.43% |     47.25% |     44.86% |     47.43% |     44.96% |     49.77% |     51.33%
    mpki                             |       4.17 |       3.85 |       3.97 |       4.66 |       3.86 |       3.36 |       3.26 |       2.67 |       2.88 |       3.27 |       3.57 |       4.01 |       3.65 |       3.06 |       4.19 |       3.63
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        273 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     174.60 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     121.17 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |         32 |          7 |          6 |          6 |          7 |          7 |          8 |          5 |          4 |          4 |          4 |         23 |          4 |          5 |          4 |         29
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        441 |        444 |        453 |        509 |        411 |        391 |        371 |        299 |        330 |        376 |        393 |        432 |        413 |        346 |        452 |        394
