                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |      34864 |      32983 |      32870 |      28709 |      31164 |      28048 |      30141 |      31718 |      34776 |      33672 |      33122 |      32073 |      31351 |      30133 |      31965 |      31963
    miss rate                        |     93.35% |     94.00% |     93.98% |     93.15% |     93.63% |     93.00% |     93.43% |     93.72% |     93.24% |     94.22% |     94.14% |     93.81% |     93.69% |     93.39% |     93.87% |     94.08%
    mpki                             |       0.29 |       0.28 |       0.27 |       0.27 |       0.27 |       0.26 |       0.26 |       0.26 |       0.29 |       0.27 |       0.27 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      37349 |      35087 |      34974 |      30819 |      33284 |      30160 |      32260 |      33842 |      37297 |      35737 |      35185 |      34189 |      33464 |      32266 |      34052 |      33975
    num cache misses                 |      23528 |      22011 |      21699 |      18182 |      20107 |      17986 |      20068 |      22176 |      23870 |      22769 |      21960 |      21143 |      20624 |      20144 |      21747 |      22494
    miss rate                        |     62.99% |     62.73% |     62.04% |     59.00% |     60.41% |     59.64% |     62.21% |     65.53% |     64.00% |     63.71% |     62.41% |     61.84% |     61.63% |     62.43% |     63.86% |     66.21%
    mpki                             |       0.19 |       0.18 |       0.18 |       0.17 |       0.17 |       0.17 |       0.17 |       0.18 |       0.20 |       0.18 |       0.18 |       0.17 |       0.17 |       0.17 |       0.18 |       0.18
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        101 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      83.79 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      30.36 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          4 |          4 |          4 |          4 |          5 |          4 |          4 |          5 |          4 |          4 |          4 |          4 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      12989 |      12670 |      12805 |      11020 |      12190 |      10871 |      11929 |      12889 |      13365 |      13410 |      13349 |      13167 |      12954 |      12722 |      13390 |      13384
