                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |     138.88 |     131.31 |     124.14 |     129.09 |     124.39 |     126.15 |     124.44 |     125.22 |     138.88 |     126.21 |     126.50 |     126.49 |     123.87 |     123.22 |     109.49 |     100.59
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     579998 |     552106 |     443783 |     524740 |     459803 |     488578 |     544330 |     519829 |     537951 |     475664 |     542352 |     532369 |     467248 |     528103 |     526246 |     530042
    num cache misses                 |     217435 |     307399 |     249758 |     301117 |     268769 |     290396 |     328951 |     317521 |     195127 |     277473 |     315353 |     315305 |     282628 |     320359 |     324019 |     333161
    miss rate                        |     37.49% |     55.68% |     56.28% |     57.38% |     58.45% |     59.44% |     60.43% |     61.08% |     36.27% |     58.33% |     58.15% |     59.23% |     60.49% |     60.66% |     61.57% |     62.86%
    mpki                             |      52.09 |      73.14 |      69.89 |      74.10 |      72.73 |      75.00 |      75.24 |      76.51 |      50.39 |      73.64 |      73.57 |      74.93 |      74.94 |      74.76 |      67.43 |      63.24
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        101 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      88.50 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      35.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          4 |          4 |          5 |          4 |          5 |          2 |          4 |          3 |          4 |          3 |          3 |          4 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     104444 |     154178 |     132511 |     155122 |     143291 |     150685 |     162051 |     162787 |      97759 |     126519 |     149677 |     153722 |     144995 |     162029 |     168064 |     173381
